,States,Regions,latitude,longitude,Date,Energy Consumption
51,Kerala,SR,8.900372741,76.56999263,2019-03-01,73.6
52,Tamil Nadu,SR,12.92038576,79.15004187,2019-03-01,285.2
53,Pondy,SR,11.93499371,79.83000037,2019-03-01,6.5
54,Bihar,ER,25.78541445,87.4799727,2019-03-01,82.0
55,Jharkhand,ER,23.80039349,86.41998572,2019-03-01,25.6
56,Odisha,ER,19.82042971,85.90001746,2019-03-01,67.9
57,West Bengal,ER,22.58039044,88.32994665,2019-03-01,110.2
58,Sikkim,ER,27.3333303,88.6166475,2019-03-01,1.9
59,Arunachal Pradesh,NER,27.10039878,93.61660071,2019-03-01,2.2
60,Assam,NER,26.7499809,94.21666744,2019-03-01,23.4
61,Manipur,NER,24.79997072,93.95001705,2019-03-01,2.4
62,Meghalaya,NER,25.57049217,91.8800142,2019-03-01,6.5
63,Mizoram,NER,23.71039899,92.72001461,2019-03-01,1.8
64,Nagaland,NER,25.6669979,94.11657019,2019-03-01,2.2
65,Tripura,NER,23.83540428,91.27999914,2019-03-01,3.6
66,Punjab,NR,31.51997398,75.98000281,2019-04-01,118.8
67,Haryana,NR,28.45000633,77.01999101,2019-04-01,128.2
68,Rajasthan,NR,26.44999921,74.63998124,2019-04-01,239.8
69,Delhi,NR,28.6699929,77.23000403,2019-04-01,83.5
70,UP,NR,27.59998069,78.05000565,2019-04-01,320.7
71,Uttarakhand,NR,30.32040895,78.05000565,2019-04-01,38.1
72,HP,NR,31.10002545,77.16659704,2019-04-01,30.1
73,J&K,NR,33.45,76.24,2019-04-01,53.2
74,Chandigarh,NR,30.71999697,76.78000565,2019-04-01,4.8
75,Chhattisgarh,WR,22.09042035,82.15998734,2019-04-01,74.8
76,Gujarat,WR,22.2587,71.1924,2019-04-01,301.9
77,MP,WR,21.30039105,76.13001949,2019-04-01,239.3
78,Maharashtra,WR,19.25023195,73.16017493,2019-04-01,395.8
79,Goa,WR,15.491997,73.81800065,2019-04-01,12.6
80,DNH,WR,20.26657819,73.0166178,2019-04-01,16.7
81,Andhra Pradesh,SR,14.7504291,78.57002559,2019-04-01,165.2
82,Telangana,SR,18.1124,79.0193,2019-04-01,201.2
83,Karnataka,SR,12.57038129,76.91999711,2019-04-01,205.3
84,Kerala,SR,8.900372741,76.56999263,2019-04-01,73.4
85,Tamil Nadu,SR,12.92038576,79.15004187,2019-04-01,270.3
86,Pondy,SR,11.93499371,79.83000037,2019-04-01,6.4
87,Bihar,ER,25.78541445,87.4799727,2019-04-01,82.9
88,Jharkhand,ER,23.80039349,86.41998572,2019-04-01,26.3
89,Odisha,ER,19.82042971,85.90001746,2019-04-01,66.3
90,West Bengal,ER,22.58039044,88.32994665,2019-04-01,106.8
91,Sikkim,ER,27.3333303,88.6166475,2019-04-01,1.7
92,Arunachal Pradesh,NER,27.10039878,93.61660071,2019-04-01,2.2
93,Assam,NER,26.7499809,94.21666744,2019-04-01,21.7
94,Manipur,NER,24.79997072,93.95001705,2019-04-01,2.4
95,Meghalaya,NER,25.57049217,91.8800142,2019-04-01,6.3
96,Mizoram,NER,23.71039899,92.72001461,2019-04-01,1.7
97,Nagaland,NER,25.6669979,94.11657019,2019-04-01,2.2
98,Tripura,NER,23.83540428,91.27999914,2019-04-01,3.5
99,Punjab,NR,31.51997398,75.98000281,2019-05-01,121.0
100,Haryana,NR,28.45000633,77.01999101,2019-05-01,127.5
101,Rajasthan,NR,26.44999921,74.63998124,2019-05-01,239.1
102,Delhi,NR,28.6699929,77.23000403,2019-05-01,79.2
103,UP,NR,27.59998069,78.05000565,2019-05-01,299.0
104,Uttarakhand,NR,30.32040895,78.05000565,2019-05-01,39.2
105,HP,NR,31.10002545,77.16659704,2019-05-01,30.2
106,J&K,NR,33.45,76.24,2019-05-01,51.5
107,Chandigarh,NR,30.71999697,76.78000565,2019-05-01,4.3
108,Chhattisgarh,WR,22.09042035,82.15998734,2019-05-01,69.0
109,Gujarat,WR,22.2587,71.1924,2019-05-01,313.2
110,MP,WR,21.30039105,76.13001949,2019-05-01,228.2
111,Maharashtra,WR,19.25023195,73.16017493,2019-05-01,411.1
112,Goa,WR,15.491997,73.81800065,2019-05-01,13.0
113,DNH,WR,20.26657819,73.0166178,2019-05-01,17.6
114,Andhra Pradesh,SR,14.7504291,78.57002559,2019-05-01,167.4
115,Telangana,SR,18.1124,79.0193,2019-05-01,201.7
116,Karnataka,SR,12.57038129,76.91999711,2019-05-01,212.4
117,Kerala,SR,8.900372741,76.56999263,2019-05-01,75.4
118,Tamil Nadu,SR,12.92038576,79.15004187,2019-05-01,286.8
119,Pondy,SR,11.93499371,79.83000037,2019-05-01,6.6
120,Bihar,ER,25.78541445,87.4799727,2019-05-01,77.0
121,Jharkhand,ER,23.80039349,86.41998572,2019-05-01,23.0
122,Odisha,ER,19.82042971,85.90001746,2019-05-01,65.8
123,West Bengal,ER,22.58039044,88.32994665,2019-05-01,107.0
124,Sikkim,ER,27.3333303,88.6166475,2019-05-01,2.0
125,Arunachal Pradesh,NER,27.10039878,93.61660071,2019-05-01,2.2
126,Assam,NER,26.7499809,94.21666744,2019-05-01,22.5
127,Manipur,NER,24.79997072,93.95001705,2019-05-01,2.7
128,Meghalaya,NER,25.57049217,91.8800142,2019-05-01,5.7
129,Mizoram,NER,23.71039899,92.72001461,2019-05-01,1.8
130,Nagaland,NER,25.6669979,94.11657019,2019-05-01,2.3
131,Tripura,NER,23.83540428,91.27999914,2019-05-01,3.5
132,Punjab,NR,31.51997398,75.98000281,2019-06-01,121.4
133,Haryana,NR,28.45000633,77.01999101,2019-06-01,132.6
134,Rajasthan,NR,26.44999921,74.63998124,2019-06-01,240.4
135,Delhi,NR,28.6699929,77.23000403,2019-06-01,76.6
136,UP,NR,27.59998069,78.05000565,2019-06-01,286.8
137,Uttarakhand,NR,30.32040895,78.05000565,2019-06-01,39.2
138,HP,NR,31.10002545,77.16659704,2019-06-01,31.0
139,J&K,NR,33.45,76.24,2019-06-01,53.2
140,Chandigarh,NR,30.71999697,76.78000565,2019-06-01,4.3
141,Chhattisgarh,WR,22.09042035,82.15998734,2019-06-01,68.1
142,Gujarat,WR,22.2587,71.1924,2019-06-01,320.7
143,MP,WR,21.30039105,76.13001949,2019-06-01,227.4
144,Maharashtra,WR,19.25023195,73.16017493,2019-06-01,408.6
145,Goa,WR,15.491997,73.81800065,2019-06-01,12.9
146,DNH,WR,20.26657819,73.0166178,2019-06-01,18.6
147,Andhra Pradesh,SR,14.7504291,78.57002559,2019-06-01,171.2
148,Telangana,SR,18.1124,79.0193,2019-06-01,194.9
149,Karnataka,SR,12.57038129,76.91999711,2019-06-01,217.5
150,Kerala,SR,8.900372741,76.56999263,2019-06-01,75.4
151,Tamil Nadu,SR,12.92038576,79.15004187,2019-06-01,298.3
152,Pondy,SR,11.93499371,79.83000037,2019-06-01,7.2
153,Bihar,ER,25.78541445,87.4799727,2019-06-01,76.4
154,Jharkhand,ER,23.80039349,86.41998572,2019-06-01,22.6
155,Odisha,ER,19.82042971,85.90001746,2019-06-01,62.9
156,West Bengal,ER,22.58039044,88.32994665,2019-06-01,106.4
157,Sikkim,ER,27.3333303,88.6166475,2019-06-01,2.0
158,Arunachal Pradesh,NER,27.10039878,93.61660071,2019-06-01,2.2
159,Assam,NER,26.7499809,94.21666744,2019-06-01,21.7
160,Manipur,NER,24.79997072,93.95001705,2019-06-01,2.7
161,Meghalaya,NER,25.57049217,91.8800142,2019-06-01,6.2
162,Mizoram,NER,23.71039899,92.72001461,2019-06-01,1.9
163,Nagaland,NER,25.6669979,94.11657019,2019-06-01,2.3
164,Tripura,NER,23.83540428,91.27999914,2019-06-01,3.3
165,Punjab,NR,31.51997398,75.98000281,2019-07-01,118.0
166,Haryana,NR,28.45000633,77.01999101,2019-07-01,132.1
167,Rajasthan,NR,26.44999921,74.63998124,2019-07-01,241.9
168,Delhi,NR,28.6699929,77.23000403,2019-07-01,71.1
169,UP,NR,27.59998069,78.05000565,2019-07-01,294.2
170,Uttarakhand,NR,30.32040895,78.05000565,2019-07-01,40.1
171,HP,NR,31.10002545,77.16659704,2019-07-01,30.1
172,J&K,NR,33.45,76.24,2019-07-01,53.3
173,Chandigarh,NR,30.71999697,76.78000565,2019-07-01,4.0
174,Chhattisgarh,WR,22.09042035,82.15998734,2019-07-01,73.1
175,Gujarat,WR,22.2587,71.1924,2019-07-01,319.4
176,MP,WR,21.30039105,76.13001949,2019-07-01,230.3
177,Maharashtra,WR,19.25023195,73.16017493,2019-07-01,408.1
178,Goa,WR,15.491997,73.81800065,2019-07-01,12.7
179,DNH,WR,20.26657819,73.0166178,2019-07-01,18.3
180,Andhra Pradesh,SR,14.7504291,78.57002559,2019-07-01,166.4
181,Telangana,SR,18.1124,79.0193,2019-07-01,191.9
182,Karnataka,SR,12.57038129,76.91999711,2019-07-01,217.4
183,Kerala,SR,8.900372741,76.56999263,2019-07-01,74.9
184,Tamil Nadu,SR,12.92038576,79.15004187,2019-07-01,294.2
185,Pondy,SR,11.93499371,79.83000037,2019-07-01,7.0
186,Bihar,ER,25.78541445,87.4799727,2019-07-01,75.3
187,Jharkhand,ER,23.80039349,86.41998572,2019-07-01,23.9
188,Odisha,ER,19.82042971,85.90001746,2019-07-01,64.0
189,West Bengal,ER,22.58039044,88.32994665,2019-07-01,109.3
190,Sikkim,ER,27.3333303,88.6166475,2019-07-01,1.5
191,Arunachal Pradesh,NER,27.10039878,93.61660071,2019-07-01,2.2
192,Assam,NER,26.7499809,94.21666744,2019-07-01,21.4
193,Manipur,NER,24.79997072,93.95001705,2019-07-01,2.5
194,Meghalaya,NER,25.57049217,91.8800142,2019-07-01,6.1
195,Mizoram,NER,23.71039899,92.72001461,2019-07-01,1.8
196,Nagaland,NER,25.6669979,94.11657019,2019-07-01,2.3
197,Tripura,NER,23.83540428,91.27999914,2019-07-01,3.3
198,Punjab,NR,31.51997398,75.98000281,2019-08-01,107.5
199,Haryana,NR,28.45000633,77.01999101,2019-08-01,121.4
200,Rajasthan,NR,26.44999921,74.63998124,2019-08-01,237.2
201,Delhi,NR,28.6699929,77.23000403,2019-08-01,69.0
202,UP,NR,27.59998069,78.05000565,2019-08-01,289.4
203,Uttarakhand,NR,30.32040895,78.05000565,2019-08-01,37.0
204,HP,NR,31.10002545,77.16659704,2019-08-01,29.2
205,J&K,NR,33.45,76.24,2019-08-01,51.2
206,Chandigarh,NR,30.71999697,76.78000565,2019-08-01,3.8
207,Chhattisgarh,WR,22.09042035,82.15998734,2019-08-01,74.2
208,Gujarat,WR,22.2587,71.1924,2019-08-01,307.9
209,MP,WR,21.30039105,76.13001949,2019-08-01,228.8
210,Maharashtra,WR,19.25023195,73.16017493,2019-08-01,398.2
211,Goa,WR,15.491997,73.81800065,2019-08-01,10.9
212,DNH,WR,20.26657819,73.0166178,2019-08-01,18.1
213,Andhra Pradesh,SR,14.7504291,78.57002559,2019-08-01,160.8
214,Telangana,SR,18.1124,79.0193,2019-08-01,190.8
215,Karnataka,SR,12.57038129,76.91999711,2019-08-01,201.0
216,Kerala,SR,8.900372741,76.56999263,2019-08-01,68.2
217,Tamil Nadu,SR,12.92038576,79.15004187,2019-08-01,279.2
218,Pondy,SR,11.93499371,79.83000037,2019-08-01,6.5
219,Bihar,ER,25.78541445,87.4799727,2019-08-01,76.2
220,Jharkhand,ER,23.80039349,86.41998572,2019-08-01,23.3
221,Odisha,ER,19.82042971,85.90001746,2019-08-01,63.6
222,West Bengal,ER,22.58039044,88.32994665,2019-08-01,102.9
223,Sikkim,ER,27.3333303,88.6166475,2019-08-01,1.6
224,Arunachal Pradesh,NER,27.10039878,93.61660071,2019-08-01,2.3
225,Assam,NER,26.7499809,94.21666744,2019-08-01,20.7
226,Manipur,NER,24.79997072,93.95001705,2019-08-01,2.6
227,Meghalaya,NER,25.57049217,91.8800142,2019-08-01,6.2
228,Mizoram,NER,23.71039899,92.72001461,2019-08-01,1.8
229,Nagaland,NER,25.6669979,94.11657019,2019-08-01,2.1
230,Tripura,NER,23.83540428,91.27999914,2019-08-01,3.3
231,Punjab,NR,31.51997398,75.98000281,2019-09-01,132.5
232,Haryana,NR,28.45000633,77.01999101,2019-09-01,148.2
233,Rajasthan,NR,26.44999921,74.63998124,2019-09-01,197.0
234,Delhi,NR,28.6699929,77.23000403,2019-09-01,89.2
235,UP,NR,27.59998069,78.05000565,2019-09-01,258.6
236,Uttarakhand,NR,30.32040895,78.05000565,2019-09-01,35.9
237,HP,NR,31.10002545,77.16659704,2019-09-01,25.3
238,J&K,NR,33.45,76.24,2019-09-01,37.9
239,Chandigarh,NR,30.71999697,76.78000565,2019-09-01,3.9
240,Chhattisgarh,WR,22.09042035,82.15998734,2019-09-01,77.2
241,Gujarat,WR,22.2587,71.1924,2019-09-01,260.0
242,MP,WR,21.30039105,76.13001949,2019-09-01,162.5
243,Maharashtra,WR,19.25023195,73.16017493,2019-09-01,400.9
244,Goa,WR,15.491997,73.81800065,2019-09-01,12.1
245,DNH,WR,20.26657819,73.0166178,2019-09-01,18.0
246,Andhra Pradesh,SR,14.7504291,78.57002559,2019-09-01,163.0
247,Telangana,SR,18.1124,79.0193,2019-09-01,167.5
248,Karnataka,SR,12.57038129,76.91999711,2019-09-01,173.6
249,Kerala,SR,8.900372741,76.56999263,2019-09-01,67.9
250,Tamil Nadu,SR,12.92038576,79.15004187,2019-09-01,280.4
251,Pondy,SR,11.93499371,79.83000037,2019-09-01,7.6
252,Bihar,ER,25.78541445,87.4799727,2019-09-01,56.4
253,Jharkhand,ER,23.80039349,86.41998572,2019-09-01,19.2
254,Odisha,ER,19.82042971,85.90001746,2019-09-01,86.6
255,West Bengal,ER,22.58039044,88.32994665,2019-09-01,131.7
256,Sikkim,ER,27.3333303,88.6166475,2019-09-01,1.1
257,Arunachal Pradesh,NER,27.10039878,93.61660071,2019-09-01,2.1
258,Assam,NER,26.7499809,94.21666744,2019-09-01,25.8
259,Manipur,NER,24.79997072,93.95001705,2019-09-01,2.3
260,Meghalaya,NER,25.57049217,91.8800142,2019-09-01,6.0
261,Mizoram,NER,23.71039899,92.72001461,2019-09-01,1.7
262,Nagaland,NER,25.6669979,94.11657019,2019-09-01,2.4
263,Tripura,NER,23.83540428,91.27999914,2019-09-01,4.2
264,Punjab,NR,31.51997398,75.98000281,2019-10-01,131.5
265,Haryana,NR,28.45000633,77.01999101,2019-10-01,157.0
266,Rajasthan,NR,26.44999921,74.63998124,2019-10-01,199.9
267,Delhi,NR,28.6699929,77.23000403,2019-10-01,92.8
268,UP,NR,27.59998069,78.05000565,2019-10-01,284.2
269,Uttarakhand,NR,30.32040895,78.05000565,2019-10-01,35.3
270,HP,NR,31.10002545,77.16659704,2019-10-01,26.5
271,J&K,NR,33.45,76.24,2019-10-01,31.7
272,Chandigarh,NR,30.71999697,76.78000565,2019-10-01,3.9
273,Chhattisgarh,WR,22.09042035,82.15998734,2019-10-01,79.0
274,Gujarat,WR,22.2587,71.1924,2019-10-01,268.3
275,MP,WR,21.30039105,76.13001949,2019-10-01,159.6
276,Maharashtra,WR,19.25023195,73.16017493,2019-10-01,409.7
277,Goa,WR,15.491997,73.81800065,2019-10-01,12.1
278,DNH,WR,20.26657819,73.0166178,2019-10-01,17.8
279,Andhra Pradesh,SR,14.7504291,78.57002559,2019-10-01,168.8
280,Telangana,SR,18.1124,79.0193,2019-10-01,173.4
281,Karnataka,SR,12.57038129,76.91999711,2019-10-01,176.0
282,Kerala,SR,8.900372741,76.56999263,2019-10-01,68.9
283,Tamil Nadu,SR,12.92038576,79.15004187,2019-10-01,290.8
284,Pondy,SR,11.93499371,79.83000037,2019-10-01,7.9
285,Bihar,ER,25.78541445,87.4799727,2019-10-01,69.9
286,Jharkhand,ER,23.80039349,86.41998572,2019-10-01,21.8
287,Odisha,ER,19.82042971,85.90001746,2019-10-01,78.8
288,West Bengal,ER,22.58039044,88.32994665,2019-10-01,140.1
289,Sikkim,ER,27.3333303,88.6166475,2019-10-01,1.1
290,Arunachal Pradesh,NER,27.10039878,93.61660071,2019-10-01,2.1
291,Assam,NER,26.7499809,94.21666744,2019-10-01,25.8
292,Manipur,NER,24.79997072,93.95001705,2019-10-01,2.4
293,Meghalaya,NER,25.57049217,91.8800142,2019-10-01,6.2
294,Mizoram,NER,23.71039899,92.72001461,2019-10-01,1.7
295,Nagaland,NER,25.6669979,94.11657019,2019-10-01,2.1
296,Tripura,NER,23.83540428,91.27999914,2019-10-01,4.3
297,Punjab,NR,31.51997398,75.98000281,2019-11-01,130.3
298,Haryana,NR,28.45000633,77.01999101,2019-11-01,145.3
299,Rajasthan,NR,26.44999921,74.63998124,2019-11-01,187.7
300,Delhi,NR,28.6699929,77.23000403,2019-11-01,79.5
301,UP,NR,27.59998069,78.05000565,2019-11-01,281.4
302,Uttarakhand,NR,30.32040895,78.05000565,2019-11-01,30.1
303,HP,NR,31.10002545,77.16659704,2019-11-01,23.9
304,J&K,NR,33.45,76.24,2019-11-01,37.3
305,Chandigarh,NR,30.71999697,76.78000565,2019-11-01,3.4
306,Chhattisgarh,WR,22.09042035,82.15998734,2019-11-01,80.7
307,Gujarat,WR,22.2587,71.1924,2019-11-01,275.0
308,MP,WR,21.30039105,76.13001949,2019-11-01,154.3
309,Maharashtra,WR,19.25023195,73.16017493,2019-11-01,405.2
310,Goa,WR,15.491997,73.81800065,2019-11-01,12.1
311,DNH,WR,20.26657819,73.0166178,2019-11-01,16.9
312,Andhra Pradesh,SR,14.7504291,78.57002559,2019-11-01,167.7
313,Telangana,SR,18.1124,79.0193,2019-11-01,166.7
314,Karnataka,SR,12.57038129,76.91999711,2019-11-01,157.0
315,Kerala,SR,8.900372741,76.56999263,2019-11-01,67.4
316,Tamil Nadu,SR,12.92038576,79.15004187,2019-11-01,270.5
317,Pondy,SR,11.93499371,79.83000037,2019-11-01,7.1
318,Bihar,ER,25.78541445,87.4799727,2019-11-01,76.2
319,Jharkhand,ER,23.80039349,86.41998572,2019-11-01,23.3
320,Odisha,ER,19.82042971,85.90001746,2019-11-01,78.4
321,West Bengal,ER,22.58039044,88.32994665,2019-11-01,149.8
322,Sikkim,ER,27.3333303,88.6166475,2019-11-01,0.8
323,Arunachal Pradesh,NER,27.10039878,93.61660071,2019-11-01,2.1
324,Assam,NER,26.7499809,94.21666744,2019-11-01,27.9
325,Manipur,NER,24.79997072,93.95001705,2019-11-01,2.4
326,Meghalaya,NER,25.57049217,91.8800142,2019-11-01,6.2
327,Mizoram,NER,23.71039899,92.72001461,2019-11-01,1.8
328,Nagaland,NER,25.6669979,94.11657019,2019-11-01,2.1
329,Tripura,NER,23.83540428,91.27999914,2019-11-01,4.3
330,Punjab,NR,31.51997398,75.98000281,2019-12-01,137.9
331,Haryana,NR,28.45000633,77.01999101,2019-12-01,151.9
332,Rajasthan,NR,26.44999921,74.63998124,2019-12-01,189.9
333,Delhi,NR,28.6699929,77.23000403,2019-12-01,92.6
334,UP,NR,27.59998069,78.05000565,2019-12-01,298.6
335,Uttarakhand,NR,30.32040895,78.05000565,2019-12-01,34.7
336,HP,NR,31.10002545,77.16659704,2019-12-01,26.4
337,J&K,NR,33.45,76.24,2019-12-01,34.6
338,Chandigarh,NR,30.71999697,76.78000565,2019-12-01,4.0
339,Chhattisgarh,WR,22.09042035,82.15998734,2019-12-01,85.2
340,Gujarat,WR,22.2587,71.1924,2019-12-01,294.1
341,MP,WR,21.30039105,76.13001949,2019-12-01,161.1
342,Maharashtra,WR,19.25023195,73.16017493,2019-12-01,421.8
343,Goa,WR,15.491997,73.81800065,2019-12-01,12.2
344,DNH,WR,20.26657819,73.0166178,2019-12-01,17.6
345,Andhra Pradesh,SR,14.7504291,78.57002559,2019-12-01,168.1
346,Telangana,SR,18.1124,79.0193,2019-12-01,173.2
347,Karnataka,SR,12.57038129,76.91999711,2019-12-01,163.5
348,Kerala,SR,8.900372741,76.56999263,2019-12-01,69.9
349,Tamil Nadu,SR,12.92038576,79.15004187,2019-12-01,298.4
350,Pondy,SR,11.93499371,79.83000037,2019-12-01,8.0
351,Bihar,ER,25.78541445,87.4799727,2019-12-01,82.3
352,Jharkhand,ER,23.80039349,86.41998572,2019-12-01,24.3
353,Odisha,ER,19.82042971,85.90001746,2019-12-01,82.4
354,West Bengal,ER,22.58039044,88.32994665,2019-12-01,154.7
355,Sikkim,ER,27.3333303,88.6166475,2019-12-01,1.0
356,Arunachal Pradesh,NER,27.10039878,93.61660071,2019-12-01,2.1
357,Assam,NER,26.7499809,94.21666744,2019-12-01,30.1
358,Manipur,NER,24.79997072,93.95001705,2019-12-01,2.5
359,Meghalaya,NER,25.57049217,91.8800142,2019-12-01,6.0
360,Mizoram,NER,23.71039899,92.72001461,2019-12-01,1.8
361,Nagaland,NER,25.6669979,94.11657019,2019-12-01,2.0
362,Tripura,NER,23.83540428,91.27999914,2019-12-01,4.6
363,Punjab,NR,31.51997398,75.98000281,2019-01-13,135.8
364,Haryana,NR,28.45000633,77.01999101,2019-01-13,141.4
365,Rajasthan,NR,26.44999921,74.63998124,2019-01-13,186.9
366,Delhi,NR,28.6699929,77.23000403,2019-01-13,89.4
367,UP,NR,27.59998069,78.05000565,2019-01-13,310.0
368,Uttarakhand,NR,30.32040895,78.05000565,2019-01-13,36.7
369,HP,NR,31.10002545,77.16659704,2019-01-13,26.4
370,J&K,NR,33.45,76.24,2019-01-13,32.7
371,Chandigarh,NR,30.71999697,76.78000565,2019-01-13,3.8
372,Chhattisgarh,WR,22.09042035,82.15998734,2019-01-13,87.6
373,Gujarat,WR,22.2587,71.1924,2019-01-13,301.2
374,MP,WR,21.30039105,76.13001949,2019-01-13,168.6
375,Maharashtra,WR,19.25023195,73.16017493,2019-01-13,408.3
376,Goa,WR,15.491997,73.81800065,2019-01-13,12.4
377,DNH,WR,20.26657819,73.0166178,2019-01-13,17.6
378,Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-13,164.9
379,Telangana,SR,18.1124,79.0193,2019-01-13,176.9
380,Karnataka,SR,12.57038129,76.91999711,2019-01-13,162.4
381,Kerala,SR,8.900372741,76.56999263,2019-01-13,72.4
382,Tamil Nadu,SR,12.92038576,79.15004187,2019-01-13,314.1
383,Pondy,SR,11.93499371,79.83000037,2019-01-13,8.4
384,Bihar,ER,25.78541445,87.4799727,2019-01-13,87.7
385,Jharkhand,ER,23.80039349,86.41998572,2019-01-13,24.8
386,Odisha,ER,19.82042971,85.90001746,2019-01-13,84.3
387,West Bengal,ER,22.58039044,88.32994665,2019-01-13,155.3
388,Sikkim,ER,27.3333303,88.6166475,2019-01-13,1.0
389,Arunachal Pradesh,NER,27.10039878,93.61660071,2019-01-13,2.1
390,Assam,NER,26.7499809,94.21666744,2019-01-13,30.1
391,Manipur,NER,24.79997072,93.95001705,2019-01-13,2.5
392,Meghalaya,NER,25.57049217,91.8800142,2019-01-13,5.9
393,Mizoram,NER,23.71039899,92.72001461,2019-01-13,1.8
394,Nagaland,NER,25.6669979,94.11657019,2019-01-13,2.2
395,Tripura,NER,23.83540428,91.27999914,2019-01-13,4.8
396,Punjab,NR,31.51997398,75.98000281,2019-01-14,139.3
397,Haryana,NR,28.45000633,77.01999101,2019-01-14,143.8
398,Rajasthan,NR,26.44999921,74.63998124,2019-01-14,195.2
399,Delhi,NR,28.6699929,77.23000403,2019-01-14,82.2
400,UP,NR,27.59998069,78.05000565,2019-01-14,319.5
401,Uttarakhand,NR,30.32040895,78.05000565,2019-01-14,35.5
402,HP,NR,31.10002545,77.16659704,2019-01-14,26.9
403,J&K,NR,33.45,76.24,2019-01-14,37.6
404,Chandigarh,NR,30.71999697,76.78000565,2019-01-14,3.5
405,Chhattisgarh,WR,22.09042035,82.15998734,2019-01-14,89.6
406,Gujarat,WR,22.2587,71.1924,2019-01-14,305.6
407,MP,WR,21.30039105,76.13001949,2019-01-14,170.7
408,Maharashtra,WR,19.25023195,73.16017493,2019-01-14,406.3
409,Goa,WR,15.491997,73.81800065,2019-01-14,12.4
410,DNH,WR,20.26657819,73.0166178,2019-01-14,18.5
411,Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-14,163.3
412,Telangana,SR,18.1124,79.0193,2019-01-14,177.0
413,Karnataka,SR,12.57038129,76.91999711,2019-01-14,156.7
414,Kerala,SR,8.900372741,76.56999263,2019-01-14,69.6
